Key	Type	Desc	Português [c0]
Items/ScarabBossScanner	Text		Ra-Akar, o Scanner do Titã de Areia
Items/ScarabBossScannerDesc	Text		Escaneia o mundo em busca de Ra-Akar, o Titã da Areia. Consumido na verificação bem-sucedida.
Items/ScarabBreastArmor	Text		Arnes de escaravelho
Items/ScarabBreastArmorDesc	Text		Uma armadura superior feita com maestria para suportar os perigos do deserto.
Items/ScarabHelm	Text		viseira de escaravelho
Items/ScarabHelmDesc	Text		Um elmo feito com o design de Ra-Akar, lançando seu olho central sobre seus inimigos.
Items/ScarabMortar	Text		Bombeie o Escaravelho Morteiro
Items/ScarabMortarDesc	Text		Uma arma poderosa que lança projéteis explosivos que se assemelham ao olho central de um escaravelho-bomba.
Items/ScarabPantsArmor	Text		Pernas de Escaravelho
Items/ScarabPantsArmorDesc	Text		Uma armadura inferior imitando as propriedades das criaturas do deserto.
Items/ScarabWingcover	Text		Asa de Escaravelho
Items/ScarabWingcoverDesc	Text		A carapaça da asa de um escaravelho-bomba que se assemelha a meio crânio.
Items/ScarletAnvil	Text		Bigorna Escarlate
Items/ScarletAnvilDesc	Text		Uma bigorna muito avançada para criar equipamentos supremos.
Items/ScarletBar	Text		Barra Escarlate
Items/ScarletBarDesc	Text		Um lingote valioso para ferraria de alto nível.
Items/ScarletBreastArmor	Text		Peitoral Escarlate
Items/ScarletBreastArmorDesc	Text		Armadura feroz da parte superior do corpo para verdadeiros guerreiros.
Items/ScarletBridge	Text		Ponte Escarlate
Items/ScarletBridgeDesc	Text		Usado para atravessar abismos e água, mas também contribui para um bom piso.
Items/ScarletChest	Text		Baú Escarlate
Items/ScarletChestDesc	Text		Um baú robusto feito de escarlate. Não está mais bloqueado.
Items/ScarletChunkNecklace	Text		Colar Pedaço Escarlate
Items/ScarletChunkNecklaceDesc	Text		A variante escarlate de um colar de pedaços de ferro. Ele aumenta ainda mais sua defesa e oferece benefícios adicionais.
Items/ScarletDagger	Text		Adaga Escarlate
Items/ScarletDaggerDesc	Text		Esta adaga carmesim ondulada perfura a maioria dos materiais.
Items/ScarletDoor	Text		Porta Escarlate
Items/ScarletDoorDesc	Text		Uma porta reforçada para impedir a entrada de qualquer pessoa não convidada.
Items/ScarletFence	Text		Cerca Escarlate
Items/ScarletFenceDesc	Text		Uma cerca de metal reforçada para proteger o que é seu por direito.
Items/ScarletFenceGate	Text		Portão da Cerca Escarlate
Items/ScarletFenceGateDesc	Text		Um portão de metal resistente para a cerca escarlate.
Items/ScarletFishingRod	Text		Vara De Pesca Escarlate
Items/ScarletFishingRodDesc	Text		Uma ótima ferramenta para puxar peixes muito resistentes.
Items/ScarletFloor	Text		Piso Escarlate
Items/ScarletFloorDesc	Text		Um piso de metal reforçado com uma bela liga carmesim.
Items/ScarletHelm	Text		Elmo Escarlate
Items/ScarletHelmDesc	Text		Elmo com chifres de aparencia ameaçadora, se encaixa perfeitamente com o resto do conjunto.
Items/ScarletHoe	Text		enxada escarlate
Items/ScarletHoeDesc	Text		Uma excelente ferramenta para preparar o terreno para a agricultura. Cada acerto cobre uma área de 3x3 ladrilhos.
Items/ScarletKey	Text		Chave Escarlate
Items/ScarletKeyDesc	Text		Uma chave robusta fundida em escarlate. Deve haver uma fechadura em algum lugar onde ela se encaixe.
Items/ScarletMiningPick	Text		Picareta Escarlate
Items/ScarletMiningPickDesc	Text		Uma ótima ferramenta para quebrar paredes extremamente duras.
Items/ScarletOre	Text		Minério Escarlate
Items/ScarletOreDesc	Text		Minério escarlate comumente encontrado em paredes de grama.
Items/ScarletPantsArmor	Text		Calça Escarlate
Items/ScarletPantsArmorDesc	Text		Marche através de seus inimigos e não olhe para trás.
Items/ScarletShellBackpack	Text		Mochila Concha Escarlate
Items/ScarletShellBackpackDesc	Text		Uma mochila rígida com muito espaço e proteção adicional.
Items/ScarletShovel	Text		Pá Escarlate
Items/ScarletShovelDesc	Text		Uma pá muito robusta, excepcional para escavar terrenos.
Items/ScarletSword	Text		Espada Escarlate
Items/ScarletSwordDesc	Text		Uma grande arma para matar inimigos.
Items/ScarletWorkBench	Text		Bancada Escarlate
Items/ScarletWorkBenchDesc	Text		Maior bancada a ser preparada para os sistemas de cavernas externas.
Items/ScholarArmor	Text		Manto do Erudito
Items/ScholarArmorDesc	Text		Um pedaço de pano imbuído de magia, usado por estudiosos cavernosos. Ao usá-lo, voce se sente em sintonia com os antigos.
Items/ScholarHelm	Text		Capuz do Erudito
Items/ScholarHelmDesc	Text		Um estranho capuz feito de linho branco e ouro, em sua sombra voce se sente mais inteligente do que o normal.
Items/ScholarStaff	Text		Funcionários Academicos
Items/ScholarStaffDesc	Text		Um cajado mágico empunhado por estudiosos cavernosos que utiliza uma pedra preciosa antiga para produzir poderosos raios de energia.
Items/ScholarTrophy	Text		Estatueta Estudiosa Cavernoso
Items/ScholarTrophyDesc	Text		Uma representação realista de um estudioso cavernoso.
Items/ScrapPart	Text	Should be in plural as the ingame icon shows several parts	Sucatas
Items/ScrapPartDesc	Text		Diferentes materiais recuperados do lixo. Usado para consertar itens na estação de salvamento e reparo.
Items/ScreenDevice	Text		Dispositivo de tela
Items/ScreenDeviceDesc	Text		Um pequeno dispositivo feito de vidro azul, que se encaixa perfeitamente na sua mão. É sensível ao toque e percorre imagens e glifos.
Items/SeaBiomeChest	Text		Baú de Conchas
Items/SeaFoamRing	Text		Anel de espuma do mar
Items/SeaFoamRingDesc	Text		Um anel translúcido que parece uma onda congelada no tempo.
Items/SeaShell	Text		Concha do mar
Items/SeaShellDesc	Text		Uma concha estranha com uma superfície lisa como seda.
Items/SeaWoodenDestructible	Text		Caixote de madeira flutuante
Items/SeaWoodenDestructibleDesc	Text		Esta caixa foi criada a partir de troncos e é branqueada pela luz de cima.
Items/SealedBeverage	Text		bebida selada
Items/SealedBeverageDesc	Text		Um líquido desconhecido se espalha por dentro quando agitado. Existe um antigo saca-rolhas por aí?
Items/SeismicClock	Text		Relógio Sísmico
Items/SeismicClockDesc	Text		Este dispositivo quebrado parece ser capaz de prever terremotos.
Items/SentryNutcracker	Text		Sentinela Quebra-nozes
Items/SentryNutcrackerDesc	Text		Um pequeno quebra-nozes moldado a partir de uma sentinela central em trajes festivos. Infelizmente, não há nozes para serem quebradas.
Items/SeptumRing	Text		anel de septo
Items/SeptumRingDesc	Text		Uma joia de ouro que não é colocada no dedo, mas sim no nariz.
Items/ShamanBossCrystalShard	Text		Fragmento de Caveira de Cristal
Items/ShamanBossCrystalShardDesc	Text		Um antigo fragmento de cristal que é apenas uma fração de algo maior.
Items/ShamanBossSummoningItem	Text		Crânio do Xamã Corrompido
Items/ShamanBossSummoningItemDesc	Text		Uma caveira de cristal forjada que sussurra cânticos antigos. Ele pede que voce o coloque no sigilo da sala do trono.
Items/SharkTooth	Text		Dente de tubarão
Items/SharkToothDesc	Text		É tão grande quanto a palma da mão, encontrar uma fileira dessas acabará sendo fatal.
Items/SilverTorrentDart	Text		dardo de prata
Items/SilverTorrentDartDesc	Text		Este peixe esquivo aparece em enxames como um espetáculo de prata piscando para confundir os predadores.
Items/SkirmisherHelm	Text		Boné Escaramuçador
Items/SkirmisherHelmDesc	Text		Um capacete usado por escaramuçadores cavernosos que foi remendado com pele de larva, folhas e pano sujo.
Items/SkullNecklace	Text		colar de caveira
Items/SkullNecklaceDesc	Text		Um colar mórbido feito de pequenos crânios cavernosos. Eles são pequenos demais para serem crianças.
Items/SkullRing	Text		anel de caveira
Items/SkullRingDesc	Text		Um grotesco anel vermelho-sangue, encimado por um minúsculo crânio cavernoso.
Items/SkyRing	Text		Anel do Céu
Items/SkyRingDesc	Text		Este anel lembra o céu aberto.
Items/Slime	Text		lodo
Items/SlimeBossCrystal	Text		Glurch Eye
Items/SlimeBossCrystalDesc	Text		Uma pedra preciosa bulbosa que fundia muitos slimes em um gigante.
Items/SlimeBossSummoningItem	Text		Ídolo de Invocação de Slime Gigante
Items/SlimeBossSummoningItemDesc	Text		Ídolo de cristal para despertar um gosma gigante. Consumido ao colocá-lo em qualquer runa de invocação de Gosma Gigante.
Items/SlimeBreastArmor	Text		Armadura de Slime
Items/SlimeBreastArmorDesc	Text		Uma armadura gelatinosa na parte superior do corpo que parece que alguém jogou um balde de gosma em voce.
Items/SlimeDesc	Text		Uma gota laranja de lodo. Pode ser processado posteriormente.
Items/SlimeHelm	Text		Elmo de Slime
Items/SlimeHelmDesc	Text		Um elmo pegajoso e constantemente pingando que cobre metade do seu rosto.
Items/SlimeOil	Text		óleo de limo
Items/SlimeOilDesc	Text		Um frasco cheio de essencia de slime, usado para cuidar da barba. Coloque-o em uma sala habitável e um personagem barbudo pode entrar.
Items/SlimeSword	Text		Espada de Slime
Items/SlimeSwordDesc	Text		Uma arma estranha, boa para causar dano aos inimigos e retardá-los.
Items/SlimeTrophy	Text		Estatueta de Slime
Items/SlimeTrophyDesc	Text		Uma representação realista de um Orange Slime comum.
Items/Slingshot	Text		estilingue
Items/SlingshotDesc	Text		Arma de longo alcance simples para disparar contra os inimigos.
Items/SlipperySlime	Text		Slime Escorregadio
Items/SlipperySlimeBossScanner	Text		Morpha, o Scanner de Massa Aquática
Items/SlipperySlimeBossScannerDesc	Text		Escaneia o mundo em busca de Morpha, a Massa Aquática. Consumido na varredura bem-sucedida.
Items/SlipperySlimeDesc	Text		Uma bolha de lodo azul quase lisa demais para segurar. Pode ser processado posteriormente.
Items/SlipperySlimeSword	Text		Espada de Slime Escorregadio
Items/SlipperySlimeSwordDesc	Text		Uma variante azul da espada de lodo. Às vezes, espalha lodo em seus inimigos, fazendo-os deslizar.
Items/SmallBomb	Text		Bomba pequena
Items/SmallBombDesc	Text		Um pequeno explosivo para explodir paredes e inimigos.
Items/SmallCavelingSkull	Text		Caveira pequena
Items/SmallCavelingSkullDesc	Text		Um crânio cavernoso, menor que o normal. Ele sugere uma história trágica.
Items/SmallLantern	Text		lanterna pequena
Items/SmallLanternDesc	Text		Uma luz fraca para ser carregada na mão secundária.
Items/SmallTempleRug	Text		Tapete de decoração do templo
Items/SmallTempleRugDesc	Text		Um tapete pequeno e antigo coberto de poeira de milhares de anos. O design mostra uma trindade de olhos.
Items/SmelterKiln	Text		forno de fundição
Items/SmelterKilnDesc	Text		Um forno que pode derreter minérios valiosos.
Items/SmithingBellow	Text		Antigo Fole de Metalurgia
Items/SmithingBellowDesc	Text		Um dispositivo antigo usado para circular o ar em uma forja para criar temperaturas extremas. A alavanca de seu mecanismo está enferrujada no lugar.
Items/SmithingGlove	Text		Luva de Metalurgia
Items/SmithingGloveDesc	Text		Reforçada com vários materiais raros, esta luva pode suportar grande calor e é um item obrigatório para todo ferreiro experiente.
Items/SnarePlantTrophy	Text		Estatueta de Planta de Armadilha
Items/SnarePlantTrophyDesc	Text		Uma representação realista de uma Snare Plant.
Items/SnowGlobe	Text		Globo de neve
Items/SnowGlobeDesc	Text		Este pequeno globo tem o núcleo como centro e inicia uma nevasca quando abalado.
Items/Snowball	Text		Bola de neve
Items/SnowballDesc	Text		Um projétil útil para começar algumas brigas com os filhos dos vizinhos. Também pode ser coletado e processado posteriormente.
Items/SnowballPyramid	Text		pirâmide de bola de neve
Items/SnowballPyramidDesc	Text		Um construto festivo tradicional construído com bolas de neve e uma fonte de luz no meio.
Items/SnowmanHelm	Text		chapéu de boneco de neve
Items/SnowmanHelmDesc	Text		O que quer que alguém esteja sentindo no momento, este chapéu cobre tudo com uma expressão feliz feita de carvão e cenoura.
Items/SoftSponge	Text		Esponja Macia
Items/SoftSpongeDesc	Text		Uma esponja macia e esponjosa. Hora de tomar banho!
Items/SolidSpikeback	Text		Spikeback sólido
Items/SolidSpikebackDesc	Text		Um peixe muito defensivo com pele dura como pedra e pontas afiadas projetando-se para fora.
Items/SpearRack	Text		cremalheira da lança
Items/SpearRackDesc	Text		Um suporte tosco que é usado por cavernosos para ter suas lanças prontas.
Items/SpeederBoat	Text		Barco Rápido
Items/SpeederBoatDesc	Text		Permite viajar sobre a água muito mais rápido.
Items/SpeederGoKart	Text		Carrinho Rápido
Items/SpeederGoKartDesc	Text		Um Carrinho de corrida com um belo acabamento vermelho, capaz de ultrapassar outros veículos após um tempo de aceleração mais longo. Tende a derrapar muito ao dirigir muito rápido.
Items/SpikeTrap	Text		Armadilha de Espinhos
Items/SpikeTrapDesc	Text		Uma armadilha mecânica de espinhos que só reage aos inimigos.
Items/SpineRing	Text		anel de espinha
Items/SpineRingDesc	Text		Um anel encontrado no esqueleto de uma criatura gigante do oceano. É feito de minúsculas vértebras cervicais.
Items/SpiritVeil	Text		Véu do Espírito
Items/SpiritVeilDesc	Text		Um peixe medonho que flutua no ar como se ainda estivesse debaixo d'água.
Items/SpookyPopCandy	Text		Bombom Assustador
Items/SpookyPopCandyDesc	Text		Parece quase assustador demais remover o invólucro. Que horrores saborosos podem esperar por trás?
Items/Sprinkler	Text		aspersor
Items/SprinklerDesc	Text		Um dispositivo útil que rega o solo cultivado em um pequeno raio.
Items/StarlightNautilus	Text		Starlight Nautilus
Items/StarlightNautilusDesc	Text		Um misterioso fóssil vivo que parece ter se fundido com metais preciosos e pedras preciosas para ascender a um estado de ser superior.
Items/StarlightShards	Text		Estilhaços de luz estelar
Items/StarlightShardsDesc	Text		Uma coleção de cristais coloridos brilhantes. Se eles cresceram naturalmente ou não, permanece um mistério.
Items/StoneBridge	Text		Ponte de Pedra
Items/StoneBridgeDesc	Text		Usado para atravessar abismos e água, mas também contribui para um bom piso.
Items/StoneCap	Text		tampa de pedra
Items/StoneCapDesc	Text		Cogumelos duros como pedra presos a uma ardósia de pedra. Eles parecem comestíveis, mas na verdade são fossilizados.
Items/StoneCavelingMoss	Text		musgo de pedra
Items/StoneCavelingMossDesc	Text		Plantas terrestres encontradas nas Ruínas Esquecidas. Eles cultivam pequenas bagas que atraem Cavernosos da área correspondente.
Items/StoneDoor	Text		porta de pedra
Items/StoneDoorDesc	Text		Uma porta mais robusta para bloquear criaturas indesejadas.
Items/StoneFence	Text		cerca de pedra
Items/StoneFenceDesc	Text		Uma cerca mais reforçada para proteger o que é seu por direito.
Items/StoneFenceGate	Text		Portão de Cerca de Pedra
Items/StoneFenceGateDesc	Text		Um portão simples para a cerca de pedra.
Items/StoneFloor	Text		Chão de pedra
Items/StoneFloorDesc	Text		Ladrilhos de pedra simples para decorar sua base.
Items/StonePedestal	Text		pedestal de pedra
Items/StonePedestalDesc	Text		Mostre suas descobertas!
Items/StoneskinPotion	Text		poção de pele de pedra
Items/StoneskinPotionDesc	Text		Um elixir salgado que endurece a pele e a torna mais resistente.
Items/SuitBreastArmor	Text		Paletó
Items/SuitBreastArmorDesc	Text		A jaqueta elegante tem uma rosa colada e é perfeita para um jantar romântico. Lembre-se de aparecer na hora.
Items/SuitHelm	Text		Cartola
Items/SuitHelmDesc	Text		Este chapéu é usado por todos os que se consideram um aventureiro admirável dotado de um carisma cativante.
Items/SuitPantsArmor	Text		Calça Social
Items/SuitPantsArmorDesc	Text		Estas calças são feitas de farbic preto e sedoso e sugerem sofisticação e confiança.
Items/SunglassesHelm	Text		Oculos escuros
Items/SunglassesHelmDesc	Text		Nada é mais importante do que usar óculos de sol legais, mesmo quando está escuro.
Items/SwiftFeather	Text		Pena Veloz
Items/SwiftFeatherDesc	Text		Uma pena misteriosa que permite que voce saia do perigo.
Items/SwiftRing	Text		Anel rápido
Items/SwiftRingDesc	Text		Usar este anel alado cria um leve vento que o empurra para frente.
Items/SwimingPantsArmorBlue	Text		calção de banho azul
Items/SwimingPantsArmorBlueDesc	Text		Usar aqueles shorts azuis frios tenta voce a formar constantemente o sinal de shaka com a mão.
Items/SwimingPantsArmorGreen	Text		Calções Verdes
Items/SwimingPantsArmorGreenDesc	Text		Usar aqueles shorts verdes frios tenta voce a formar constantemente o sinal de shaka com a mão.
Items/SwimingPantsArmorRed	Text		calção de banho vermelho
Items/SwimingPantsArmorRedDesc	Text		Usar aqueles shorts vermelhos frios tenta voce a formar constantemente o sinal de shaka com a mão.
Items/TableSaw	Text		Serra de mesa
Items/TableSawDesc	Text		Uma serra simples para cortar materiais em ardósias. Requer eletricidade.
Items/TallGrass	Text		Grama alta
Items/TallGrassDesc	Text		Grande pedaço de grama alta para usar como decoração.
Items/TallLandKelp	Text		Algas Terrestres Altas
Items/TallLandKelpDesc	Text		Um grande tipo de alga marinha que pode crescer fora da água.
Items/TealPalaceFish	Text		Peixe Palácio Teal
Items/TealPalaceFishDesc	Text		Um peixe azul-esverdeado de aparencia estranha com barbatanas de formato estranho.
Items/TempleAzeosUrn	Text		Azeos Urna
Items/TempleAzeosUrnDesc	Text		Este vaso decorativo foi feito em homenagem a Azeos, o Titã do Céu.
Items/TempleGlyphBlock	Text		Glifo Estela
Items/TempleGlyphBlockBroken	Text		Estela Glifo Quebrada
Items/TempleGlyphBlockBrokenDesc	Text		Um bloco feito de vidro azul nebuloso com gravuras douradas. As informações escritas nele são perdidas para sempre, pois foram quebradas de propósito.
Items/TempleGlyphBlockDesc	Text		Um bloco feito de vidro azul nebuloso com gravuras douradas. Parece que foram usados ​​como memoriais ou para marcar lugares importantes.
Items/TempleGlyphWall1	Text		Parede Glifo Angulada
Items/TempleGlyphWall1Desc	Text		Uma antiga parede de arenito com um topo inclinado e coberta de glifos indecifráveis. Que histórias eles contam?
Items/TempleGlyphWall2	Text		Parede de Glifos
Items/TempleGlyphWall2Desc	Text		Uma antiga parede de arenito coberta de glifos indecifráveis. Que histórias eles contam?
Items/TempleGuardianStatue	Text		Estátua do Guardião do Templo
Items/TempleGuardianStatueDesc	Text		Esta estátua intimidadora retrata um antigo guardião em trajes exóticos. Sua postura ajoelhada sugere estar a serviço de um rei.
Items/TempleGuardianStatueRaided	Text		Estátua do Guardião do Templo Invadida
Items/TempleGuardianStatueRaidedDesc	Text		Uma estátua deliberadamente destruída por ladrões de túmulos. Foi parcialmente liberado das adagas verdes em seu fecho de pedra.
Items/TempleOmorothUrn	Text		Urna de Omoroth
Items/TempleOmorothUrnDesc	Text		Este vaso decorativo foi feito em homenagem a Omoroth, o Titã do Mar.
Items/TemplePedestal	Text		pedestal do templo
Items/TemplePedestalDesc	Text		Um antigo suporte dourado que parece ter guardado pertences reais uma vez.
Items/TemplePillar	Text		Pilar do Templo
Items/TemplePillarDesc	Text		Um pilar muito bonito e decorativo encontrado apenas em antigos templos do deserto.
Items/TempleRaAkarUrn	Text		Urna Ra-Akar
Items/TempleRaAkarUrnDesc	Text		Este vaso decorativo foi feito em homenagem a Ra-Akar, o Titã da Areia.
Items/TempleThrone	Text		Trono do Templo
Items/TempleThroneDesc	Text		Um trono de ouro reservado apenas para as nádegas da antiga realeza.
Items/TempleTurret	Text		torre de pedra
Items/TempleTurretDesc	Text		Esta antiga armadilha atira projéteis em qualquer um que entre em sua linha de visão. Seu funcionamento interno é ocultado por uma careta cavernosa.
Items/TentacleJerky	Text		Tentáculo Jerky
Items/TentacleJerkyDesc	Text		Um pedaço seco de tentáculo. É bastante resistente e mantém os dentes ocupados.
Items/TentacleTrophy	Text		estatueta de tentáculo
Items/TentacleTrophyDesc	Text		Uma representação realista de um tentáculo.
Items/TentacleWhip	Text		Chicote Tentáculo
Items/TentacleWhipDesc	Text		Um tentáculo elástico que ataca os inimigos de longe. Ainda está vivo e balançando em sua mão.
Items/ThornWood	Text		Espinho
Items/ThornWoodDesc	Text		Uma variante espinhenta da madeira de raiz comum.
Items/ThrowingDaggers	Text		Lançando adagas
Items/ThrowingDaggersDesc	Text		Um conjunto de lâminas curvas. Eles são equilibrados uniformemente para que jogá-los seja tão fácil quanto apontar o dedo.
Items/Thumper	Text		batedor
Items/ThumperDesc	Text		Um estranho aparelho que envia ondas de choque profundamente no solo. Usá-lo no lugar certo pode despertar algo de seu sono. É consumido no uso bem-sucedido.
Items/TiltedGrave	Text		Sepultura Inclinada
Items/TiltedGraveDesc	Text		Um túmulo vazio que foi movido para fora de seu alinhamento em busca de objetos de valor.
Items/TimelessHourglass	Text		ampulheta atemporal
Items/TimelessHourglassDesc	Text		Uma ampulheta intacta, cheia de areia azul. Não está claro que período de tempo ele mede, pois a areia parece cair incrivelmente devagar.
Items/TinAnvil	Text		bigorna de estanho
Items/TinAnvilDesc	Text		Uma bigorna melhor para criar equipamentos e armas mais adequados para a sobrevivencia.
Items/TinAxe	Text		machado de lata
Items/TinAxeDesc	Text		Uma arma mais lenta, mas mais prejudicial contra vários inimigos.
Items/TinBar	Text		Barra de estanho
Items/TinBarDesc	Text		Um lingote de metal resistente para ferraria.
Items/TinBreastArmor	Text		peitoral de estanho
Items/TinBreastArmorDesc	Text		Uma boa armadura para sobreviver às batalhas com mais facilidade.
Items/TinDagger	Text		punhal de lata
Items/TinDaggerDesc	Text		Uma pequena lâmina que permite facadas rápidas.
Items/TinFishingRod	Text		Vara De Pesca De Lata
Items/TinFishingRodDesc	Text		Uma ferramenta durável para puxar peixes maiores.
Items/TinHelm	Text		elmo de lata
Items/TinHelmDesc	Text		Este elmo repele golpes leves na cabeça.
Items/TinHoe	Text		enxada
Items/TinHoeDesc	Text		Uma ferramenta durável para preparar o terreno para a agricultura.
Items/TinMiningPick	Text		picareta de lata
Items/TinMiningPickDesc	Text		Uma ferramenta durável, boa para quebrar paredes com mais facilidade.
Items/TinOre	Text		minério de estanho
Items/TinOreDesc	Text		Comumente encontrado em paredes de barro.
Items/TinPantsArmor	Text		calças de estanho
Items/TinPantsArmorDesc	Text		Um pouco de lata para a canela.
Items/TinShovel	Text		pá de estanho
Items/TinShovelDesc	Text		Uma pá durável, adequada para escavar o solo.
Items/TinSword	Text		espada de estanho
Items/TinSwordDesc	Text		Uma arma afiada para matar inimigos.
Items/TinWorkbench	Text		bancada de estanho
Items/TinWorkbenchDesc	Text		Uma bancada de trabalho melhor para prepará-lo para o mundo subterrâneo.
Items/TopazRing	Text		anel de topázio
Items/TopazRingDesc	Text		Um pequeno anel precioso com uma pedra preciosa amarela no topo.
Items/TorcNecklace	Text		colar Torc
Items/TorcNecklaceDesc	Text		Uma joia para o pescoço que é apenas um aro com uma abertura. Usado por muitas culturas diferentes ao longo da história do mundo.
Items/Torch	Text		Tocha
Items/TorchDesc	Text		Ilumine seus arredores. Também pode ser colocado no chão.
Items/TorchPlural	Text		Tochas
Items/TornisKingfish	Text		Tornis Kingfish
Items/TornisKingfishDesc	Text		Um enigma extremamente raro da vida marinha que parece unificar todos os outros peixes abaixo dele.
Items/TowelBreastArmor	Text		Toalha
Items/TowelBreastArmorDesc	Text		Uma toalha é a coisa mais útil que um minerador subterrâneo pode ter.
Items/TriangleTrinket	Text		Berloque Triângulo
Items/TriangleTrinketDesc	Text		Uma estranha peça de ouro vibrando com energia.
Items/TurtleShell	Text		casco de tartaruga
Items/TurtleShellDesc	Text		Uma casca dura que pertenceu a uma graciosa criatura marinha. Voce se sente muito mais protegido ao segurá-lo.
Items/TwistedAgate	Text		ágata torcida
Items/TwistedAgateDesc	Text		Uma gema verde em forma de espiral.
Items/UnlockedKingChest	Text		Baú do Rei do Deserto
Items/UnlockedKingChestDesc	Text		Um baú intrincado e único com uma pedra preciosa roxa trancada em seu interior.
Items/UnlockedPrinceChest	Text		Baú do Príncipe do Deserto
Items/UnlockedPrinceChestDesc	Text		Um baú intrincado e único com uma pedra preciosa laranja trancada em seu interior..
Items/UnlockedQueenChest	Text		Baú da Rainha do Deserto
Items/UnlockedQueenChestDesc	Text		Um baú intrincado e único com uma pedra preciosa verde trancada em seu interior..
Items/ValentineCandles	Text		Baú dos Namorados
Items/ValentineCandlesDesc	Text		Este baú com tema de coração é ótimo para guardar pequenas bugigangas de amor.
Items/ValentineChest	Text		baú dos namorados
Items/ValentineChestDesc	Text		Este baú com tema de coração é ótimo para guardar pequenas bugigangas de amor.
Items/ValentineFloorPetals	Text		Piso de pétalas de rosa
Items/ValentineFloorPetalsDesc	Text		Este saquinho de papel contém pétalas de rosa suficientes para cobrir um piso 1x1 com elas. Ótimo para traçar um caminho de amor.
Items/ValentineLetter	Text		Carta de amor
Items/ValentineLetterDesc	Text		Uma carta perfumada que contém palavras de amor e apreço. Dê a alguém que precisa urgentemente de afeto.
Items/ValentineNecklace	Text		colar dos namorados
Items/ValentineNecklaceDesc	Text		Um colar dourado com um coração grande e brilhante. Você sente algo que não consegue descrever, ao usá-lo tão perto do seu.
Items/ValentinePainting	Text		pintura de coração
Items/ValentinePaintingDesc	Text		Uma pintura simples mostrando nada mais do que um coração. Às vezes, isso é tudo o que precisamos nesses tempos sombrios.
Items/ValentinePlushie	Text		Pelúcia bruta de Cavernoso
Items/ValentinePlushieDesc	Text		Um grande pelúcia, parecendo um bruto cavernoso segurando um coração. Mesmo aqueles precisam de um pouco de amor às vezes.
Items/ValentinePresent	Text		presente de dia dos namorados
Items/ValentinePresentDesc	Text		Este presente rosa e prateado é embalado com uma variedade de diferentes itens encantadores.
Items/ValentineRing	Text		anel dos namorados
Items/ValentineRingDesc	Text		Um anel dourado com um coração colorido. O presente perfeito para dar a alguém que você gosta.
Items/ValentineRug	Text		tapete em forma de coração
Items/ValentineRugDesc	Text		"Nada fala ""amor"" como um grande coração felpudo no chão. Tem cheiro de lã e lavanda."
Items/ValentineWallHearts	Text		Corações de parede
Items/ValentineWallHeartsDesc	Text		Uma variedade de corações cortados de papel, eles ficam ótimos nas paredes e tornam a base um pouco mais bonita.
Items/ValentineWorkbench	Text		Mesa de artesanato dos namorados
Items/ValentineWorkbenchDesc	Text		Uma bancada contendo ferramentas e projetos para criar alguns belos itens decorativos.
Items/VampireCapeBreastArmor	Text		Cabo Dracularva
Items/VampireCapeBreastArmorDesc	Text		Uma capa de cetim preta digna de um vampiro. A gola dobrável carmesim contribui para o visual maligno.
Items/VampireEel	Text		Enguia vampiro
Items/VampireEelDesc	Text		Um peixe sugador de sangue agarrando-se a tudo que tem pulso.
Items/VendingMachine	Text		Maquina de vendas
Items/VendingMachineBroken	Text		Máquina de venda automática quebrada
Items/VendingMachineBrokenDesc	Text		Um autômato quebrado que antes continha lanches e outras mercadorias. Parece que foi forçado a abrir.
Items/VendingMachineDesc	Text		Um velho autômato ainda em funcionamento que é prova de tecnologia avançada e uma sociedade sofisticada.
Items/VerdantDragonfish	Text		verdejante peixe-dragão
Items/VerdantDragonfishDesc	Text		Este peixe draconiano tem escamas verdes que podem suportar temperaturas notavelmente altas.
Items/WallCityBlock	Text		Parede da cidade
Items/WallCityBlockDesc	Text		Uma seção de parede robusta com detalhes dourados e orifícios para janelas.
Items/WallClayBlock	Text		parede de barro
Items/WallClayBlockDesc	Text		Uma seção de parede vermelha e quebradiça.
Items/WallCoralBlock	Text		parede de coral
Items/WallCoralBlockDesc	Text		Uma seção de parede de azulejos rosados.
Items/WallDesertBlock	Text		parede de arenito
Items/WallDesertBlockDesc	Text		Uma seção de parede rochosa com um padrão ondulado.
Items/WallDesertTempleBlock	Text		Parede do Templo
Items/WallDesertTempleBlock2	Text		Parede do Labirinto
Items/WallDesertTempleBlock2Desc	Text		Uma parede extremamente durável com um padrão de labirinto gravado.
Items/WallDesertTempleBlockDesc	Text		Uma seção de parede robusta feita com ladrilhos azuis e dourados.
Items/WallDirtBlock	Text		Parede de terra
Items/WallDirtBlockDesc	Text		Uma seção de parede marrom.
Items/WallGalaxiteBlock	Text		Muralha Galaxita
Items/WallGalaxiteBlockDesc	Text		Uma parede sobrenatural salpicada de estrelas brilhantes.
Items/WallGrassBlock	Text		Parede de Grama
Items/WallGrassBlockDesc	Text		Uma seção de parede de planta exuberante.
Items/WallHiveBlock	Text		Parede de Coméia de Larva
Items/WallHiveBlockDesc	Text		Uma seção de parede irregular e em movimento?
Items/WallLavaBlock	Text		Parede de rocha de lava
Items/WallLavaBlockDesc	Text		Uma seção de parede fundida.
Items/WallLimestoneBlock	Text		parede de calcário
